ElementID,EnterpriseNo,FieldType,DataType
315,9,audio_noise_level_current,unsigned16
316,9,audio_noise_level_average,unsigned16
317,9,audio_noise_level_minimum,unsigned16
318,9,audio_noise_level_maximum,unsigned16
319,9,audio_noise_level_configured,unsigned16
320,9,audio_snr_current,unsigned16
321,9,audio_snr_average,unsigned16
322,9,audio_snr_minimum,unsigned16
323,9,audio_snr_maximum,unsigned16
324,9,audio_snr_configured,unsigned16
332,9,DNA,octetArray
432,9,vxlan_sgt,unsigned16
433,9,vxlan_flags,unsigned16
1232,9,flow_cts_source_group_tag,unsigned16
1233,9,flow_cts_destination_group_tag,unsigned16
1234,9,flow_cts_source_group_tag_name,octetArray
1236,9,flow_cts_switch_derived_sgt,unsigned16
2233,9,policy_firewall_event_extended,dyanmic2B4B
2234,9,FW_SRC_VRF_ID,unsigned32
2235,9,FW_DST_VRF_ID,unsigned32
2236,9,policy_firewall_blackout_time,unsigned32
2237,9,policy_firewall_incomplete_high_watermark,unsigned32
2238,9,policy_firewall_incomplete_rate,unsigned32
2239,9,policy_firewall_zone_pair_id,unsigned32
2240,9,policy_firewall_sessions_maximum,unsigned32
2241,9,policy_firewall_zone_pair_name,octetArray
2242,9,policy_firewall_event_extended_description,string
2243,9,FW_SUMMARY_PKT_CNT,unsigned32
2244,9,policy_firewall_incomplete_count,unsigned32
3232,9,waas_dre_input,unsigned64
3233,9,waas_dre_output,unsigned64
3234,9,waas_lz_input,unsigned64
3235,9,waas_lz_output,unsigned64
3236,9,waas_original_bytes,unsigned64
3237,9,waas_optimised_bytes,unsigned64
3238,9,waas_app,unsigned32
3239,9,waas_class,unsigned32
3240,9,waas_conn_mode,unsigned16
3241,9,waas_bytes_input,unsigned64
3242,9,waas_bytes_output,unsigned64
3243,9,WAAS_IN_PACKETS,unsigned64
3244,9,WAAS_OUT_PACKETS,unsigned64
3245,9,WAAS_LZ_ENC_AVG_LATENCY,unsigned64
3246,9,WAAS_LZ_DEC_AVG_LATENCY,unsigned64
3247,9,WAAS_DRE_ENC_AVG_LATENCY,unsigned64
3248,9,WAAS_DRE_DEC_AVG_LATENCY,unsigned64
4232,9,cnt_pkt_dropped,unsigned64
4232,9,cnt_pkt_dropped_long,unsigned64
4233,9,cnt_pkt_dropped_permanent,unsigned64
4233,9,cnt_pkt_dropped_permanent_short,unsigned64
4234,9,cnt_pkt_rate,unsigned32
4235,9,cnt_bytes_rate,unsigned32
4236,9,app_media_bytes_cnt,unsigned64
4236,9,app_media_bytes_cnt_long,unsigned64
4237,9,app_media_bytes_cnt_permanent,unsigned64
4238,9,app_media_bytes_rate,unsigned64
4239,9,app_media_pkt_cnt,unsigned64
4239,9,app_media_pkt_cnt_long,unsigned64
4240,9,app_media_pkt_cnt_permanent,unsigned64
4241,9,app_media_pkt_rate,unsigned32
4242,9,app_media_pkt_rate_variation,unsigned32
4243,9,app_media_event,unsigned8
4245,9,timestamp_interval,octetArray
4246,9,trans_pkt_expected_cnt,unsigned64
4246,9,trans_pkt_expected_cnt_long,unsigned64
4247,9,trans_pkt_expected_cnt_permanent,unsigned64
4248,9,trans_round_trip_time,unsigned32
4249,9,trans_event_pkt_loss_cnt,unsigned32
4249,9,trans_event_pkt_loss_cnt_long,unsigned32
4250,9,trans_event_pkt_loss_cnt_permanet,unsigned32
4251,9,trans_pkt_lost_cnt,unsigned64
4251,9,trans_pkts_lost_cnt_long,unsigned64
4252,9,trans_pkt_lost_cnt_permanent,unsigned64
4253,9,trans_pkt_lost_rate,unsigned32
4254,9,trans_rtp_ssrc,unsigned32
4255,9,trans_rtp_jitter_mean,unsigned32
4256,9,trans_rtp_jitter_minimum,unsigned32
4257,9,trans_rtp_jitter_maximum,unsigned32
4258,9,counter_flow,unsigned32
4259,9,misc_unsupported,unsigned16
4260,9,cnt_bytes_rate_per_flow,unsigned32
4261,9,cnt_bytes_rate_per_flow_min,unsigned32
4262,9,cnt_bytes_rate_per_flow_max,unsigned32
4263,9,cnt_pkt_rate_per_flow,unsigned32
4264,9,cnt_pkt_rate_per_flow_min,unsigned32
4265,9,cnt_pkt_rate_per_flow_max,unsigned32
4266,9,app_media_bytes_rate_per_flow,octetArray
4267,9,app_media_bytes_rate_per_flow_min,unsigned32
4268,9,app_media_bytes_rate_per_flow_max,unsigned32
4269,9,RTP_SEQ_CYCLE_COUNT,unsigned32
4270,9,app_media_pkt_rate_variation_min,unsigned32
4271,9,app_media_pkt_rate_variation_max,unsigned32
4272,9,trans_rtp_flow_count,unsigned32
4273,9,trans_rtp_payload_type,unsigned8
4274,9,trans_pkt_lost_cnt_min,unsigned32
4275,9,trans_pkt_lost_cnt_max,unsigned32
4276,9,trans_event_pkt_loss_cnt_min,unsigned32
4277,9,trans_event_pkt_loss_cnt_max,unsigned32
4278,9,transport_packets_lost_rate,unsigned32
4278,9,RTP_SEQ_RESYNC_COUNT,unsigned32
4279,9,trans_pkt_lost_rate_min,unsigned32
4280,9,trans_pkt_lost_rate_max,unsigned32
4281,9,trans_tcp_flow_count,unsigned32
4282,9,trans_round_trip_time_sum,unsigned64
4282,9,trans_round_trip_time_sum_short,unsigned64
4283,9,trans_round_trip_time_samples,unsigned32
4284,9,trans_round_trip_time_min,unsigned32
4285,9,trans_round_trip_time_max,unsigned32
4286,9,metadata_global_session_id,string
4287,9,metadata_multi_party_session_id,string
4288,9,metadata_clock_rate,unsigned32
4289,9,monitor_end_time,unsigned64
4290,9,Transport_packets_out-of-ordered_counter,unsigned32
4291,9,server_response_time_average,unsigned32
4292,9,refused_sessions,unsigned32
4293,9,client_network_delay_average,unsigned32
4294,9,server_network_delay_average,unsigned32
4295,9,network_delay_average,unsigned32
4296,9,app_delay_average,unsigned32
4297,9,session_time_minimum,unsigned32
4298,9,session_time_maximum,unsigned32
4299,9,session_time_average,unsigned32
4300,9,transaction_time_average,unsigned32
4301,9,closed_sessions,unsigned32
4302,9,retransmitted_pkt,unsigned32
4303,9,trans_bytes_out_of_order,unsigned64
4304,9,client_throughput_average,unsigned32
4305,9,unresponsive_sessions,unsigned32
4306,9,trans_pkt_out_of_order,unsigned32
4307,9,IPv4_source_observation_node,ipv4Address
4308,9,IPv4_destination_observation_node,ipv4Address
4309,9,IPv6_source_observation_node,ipv6Address
4310,9,IPv6_destination_observation_node,ipv6Address
4311,9,pfr_one_way_delay_sum,unsigned64
4312,9,pfr_one_way_delay_samples,unsigned32
4313,9,pfr_one_way_delay,unsigned32
4314,9,pkt_arrival_timestamp,unsigned64
4315,9,trans_tcp_window_size_minimum,unsigned32
4316,9,trans_tcp_window_size_maximum,unsigned32
4317,9,trans_tcp_window_size_average,unsigned32
4318,9,trans_tcp_maximum_segment_size,unsigned16
4318,9,trans_tcp_maximum_segment_size,unsigned16
4319,9,RTP_INVALLID_SEQ_COUNT,unsigned32
4320,9,FLOW_UNAVAILABILITY_MILLISECONDS,unsigned32
4321,9,MID_PID,unsigned16
4322,9,METRIC_TYPE,unsigned8
4323,9,trans_tcp_window_size_sum,unsigned64
4324,9,TIME_INTERVAL_END,unsigned64
4325,9,trans_rtp_jitter_mean_sum,unsigned64
4326,9,app_media_pkt_rate_variation_sum,unsigned64
4327,9,trans_tcp_window_size_average_sum,unsigned32
4328,9,trans_rtp_jitter_inter_arrival_sum,unsigned64
4329,9,trans_rtp_jitter_inter_arrival_samples,unsigned32
4330,9,trans_rtp_jitter_inter_arrival_mean,octetArray
4331,9,pfr_site_source_id_ipv4,octetArray
4331,9,pfr_site_source_id_ipv6,octetArray
4332,9,pfr_site_destination_id_ipv4,octetArray
4332,9,pfr_site_destination_id_ipv6,octetArray
4333,9,trans_bytes_lost,octetArray
4334,9,trans_bytes_expected,octetArray
4335,9,trans_bytes_lost_rate,octetArray
4336,9,network_delay_sum,unsigned64
4337,9,network_delay_sample,unsigned32
4338,9,pfr_tc_mitigation_err_bw_count,unsigned32
4339,9,pfr_tc_no_mitigation_err_performance_count,unsigned32
4340,9,pfr_tc_no_mitigation_err_performance_count,unsigned32
4341,9,pfr_site_source_prefix_ipv4,ipv4Address
4342,9,pfr_site_destination_prefix_ipv4,ipv4Address
4343,9,pfr_site_source_prefix_ipv6,ipv6Address
4344,9,pfr_site_destination_prefix_ipv6,ipv6Address
4345,9,pfr_site_source_prefix_mask_ipv4,unsigned8
4346,9,pfr_site_destination_prefix_mask_ipv4,unsigned8
4347,9,pfr_site_source_prefix_mask_ipv6,unsigned8
4348,9,pfr_site_destination_prefix_mask_ipv6,unsigned8
4349,9,pfr_service_provider_tag_identifier,unsigned8
4350,9,pfr_label_identifier,unsigned8
4432,9,app_voice_number_called,octetArray
4433,9,app_voice_number_calling,octetArray
4434,9,app_voice_setup_time,octetArray
4435,9,app_voice_call_duration,octetArray
4436,9,app_voice_rx_bad_pkt,octetArray
4437,9,app_voice_rx_out_of_sequence,octetArray
4438,9,app_voice_codec_id,octetArray
4439,9,app_voice_play_delay_current,octetArray
4440,9,app_voice_play_delay_minimum,octetArray
4441,9,app_voice_play_delay_maximum,octetArray
4442,9,app_voice_sip_call_id,octetArray
4443,9,app_voice_router_global_call_id,octetArray
4444,9,app_voice_delay_round_trip,octetArray
4445,9,app_voice_delay_end_point,octetArray
4446,9,app_voice_r_factor_1,octetArray
4447,9,app_voice_r_factor_2,octetArray
4448,9,app_voice_mos_conversation,octetArray
4449,9,app_voice_mos_listening,octetArray
4450,9,app_voice_concealment_ratio_mean,octetArray
4451,9,app_voice_jitter_configured_type,octetArray
4452,9,app_voice_jitter_configured_min,octetArray
4453,9,app_voice_jitter_configured_max,octetArray
4454,9,app_voice_jitter_configured_initial,octetArray
4455,9,app_voice_rx_early_pkt_count,octetArray
4456,9,app_voice_rx_late_pkt_count,octetArray
4457,9,app_voice_jitter_buffer_overrun,octetArray
4458,9,app_voice_pkt_conceal_count,octetArray
4732,9,app_video_resolution_width_last,unsigned16
4733,9,app_video_resolution_height_last,unsigned16
4734,9,app_video_frame_rate,unsigned8
4735,9,app_video_payload_bitrate_average,unsigned16
4736,9,app_video_payload_bitrate_fluctuation,unsigned16
4737,9,app_video_frame_I_cnt_frames,unsigned32
4738,9,app_video_frame_I_cnt_pkt,unsigned32
4739,9,app_video_frame_I_cnt_bytes,unsigned32
4740,9,app_video_frame_STR_cnt_frames,unsigned32
4741,9,app_video_frame_STR_cnt_pkt,unsigned32
4742,9,app_video_frame_STR_cnt_bytes,unsigned32
4743,9,app_video_frame_LTR_cnt_frames,unsigned32
4744,9,app_video_frame_LTR_cnt_pkt,unsigned32
4745,9,app_video_frame_LTR_cnt_bytes,unsigned32
4746,9,app_video_frame_super_P_cnt_frame,unsigned32
4747,9,app_video_frame_super_P_cnt_pkt,unsigned32
4748,9,app_video_frame_super_P_cnt_byte,unsigned32
4749,9,app_video_frame_NR_cnt_frames,unsigned32
4750,9,app_video_frame_NR_cnt_pkt,unsigned32
4751,9,app_video_frame_NR_cnt_bytes,unsigned32
4752,9,app_video_frame_I_slice_quantization_level,unsigned8
4753,9,app_video_frame_STR_slice_quantization_level,unsigned8
4754,9,app_video_frame_LTR_slice_quantization_level,unsigned8
4755,9,app_video_frame_super_P_slice_quantization_level,unsigned8
4756,9,app_video_frame_NR_slice_quantization_level,unsigned8
4757,9,app_video_eMOS_compression_bitstream,unsigned8
4758,9,app_video_eMOS_compression_network,unsigned8
4759,9,app_video_frame_I_cnt_pkt,unsigned32
4760,9,app_video_frame_STR_cnt_pkt_lost,unsigned32
4761,9,app_video_frame_LTR_cnt_pkt_lost,unsigned32
4762,9,app_video_frame_super_P_cnt_pkt_lost,unsigned32
4763,9,app_video_frame_NR_cnt_pkt_lost,unsigned32
4764,9,app_video_frame_percentage_damaged,unsigned8
4765,9,app_video_eMOS_pkt_loss_bitstream,unsigned8
4766,9,app_video_eMOS_pkt_loss_network,unsigned8
4767,9,app_video_scene_complexity,unsigned8
4768,9,app_video_level_of_motion,unsigned8
4769,9,trans_rtp_sequence_number,unsigned16
4770,9,trans_rtp_sequence_number_last,unsigned16
5232,9,vdsDisplayProtocol,unsigned8
5233,9,iOAM_my_node_id,unsigned8
5234,9,iOAM_my_node_name,unsigned32
5235,9,start_timestamp,unsigned8
5236,9,end_timestamp,unsigned8
5237,9,IOAM_pkt_cnt,unsigned8
5238,9,IOAM_byte_count,octetArray
5239,9,IOAM_cs0_pkt_cnt,ipv4Address
5240,9,IOAM_cs0_byte_count,ipv4Address
5241,9,IOAM_cs1_pkt_cnt,ipv4Address
5242,9,IOAM_cs1_byte_count,unsigned16
5243,9,IOAM_cs2_pkt_cnt,unsigned16
5244,9,IOAM_cs2_byte_count,unsigned8
5245,9,IOAM_cs3_pkt_cnt,string
5246,9,IOAM_cs3_byte_count,string
5247,9,IOAM_cs4_pkt_cnt,unsigned8
5248,9,IOAM_cs4_byte_count,unsigned8
5249,9,IOAM_cs5_pkt_cnt,unsigned8
5250,9,IOAM_cs5_byte_count,unsigned64
5251,9,IOAM_cs6_pkt_cnt,unsigned64
5252,9,IOAM_cs6_byte_count,unsigned64
5253,9,IOAM_cs7_pkt_cnt,unsigned64
5254,9,IOAM_cs7_byte_count,unsigned64
5255,9,IOAM_lost_pkt_cnt,unsigned64
5256,9,IOAM_duplicate_pkt_cnt,unsigned32
5257,9,IOAM_reordered_pkt_cnt,unsigned64
5258,9,IOAM_highest_PPC_sequence_number,unsigned32
5259,9,iOAM_node_id,unsigned64
5260,9,ipv6_protocol_filed,unsigned32
5261,9,iOAM_E2E_Header,unsigned32
5262,9,iOAM_Path_Map,unsigned32
6232,9,pfr_br_ipv4_address,ipv4Address
6233,9,pfr_status,unsigned16
6234,9,reason_id,unsigned32
6235,9,threshold,unsigned32
6236,9,pfr_priority,unsigned16
6237,9,ShortTermRTT,unsigned32
6238,9,long_term_round_trip_time,unsigned32
6239,9,mos_below,unsigned32
6240,9,rsvp_bw_pool,unsigned64
6241,9,flow_left_time,unsigned16
6242,9,bw_percentage,unsigned16
6243,9,bw_fee,unsigned32
6244,9,trans_source_port_min,unsigned16
6245,9,trans_source_port_max,unsigned16
6246,9,trans_destination_port_min,unsigned16
6247,9,trans_destination_port_max,unsigned16
6248,9,capacity,unsigned64
6249,9,ingress_bw,unsigned64
6249,9,ingress_bw_long,unsigned64
6250,9,max_ingress_bw,unsigned64
6251,9,egress_bw,unsigned64
6251,9,egress_bw_long,unsigned64
6252,9,max_egress_bw,unsigned64
6253,9,ingress_rollup_bw,unsigned64
6254,9,egress_rollup_bw,unsigned64
6255,9,kth_rollup_bw,unsigned64
6256,9,link_group_name,octetArray
